epoch,batch,id,mem (cpu),gpu,gpu (gb?)
0,0,before training anything,28.96193536,346880,0.00034688
0,0,before training adversary (1),28.96191898,347136,0.000347136
0,0,after training adversary (1),30.15177011,802560,0.00080256
0,0,after training adversary (2),30.21028557,1396736,0.001396736
0,0,before training main model,30.21028557,1396736,0.001396736
0,0,after compiling,30.21088768,1396736,0.001396736
0,0,after training main model,32.47454618,8371968,0.008371968
0,1,before training anything,32.45665075,8371968,0.008371968
0,1,before training adversary (1),32.3626025,8371968,0.008371968
0,1,after training adversary (1),32.38914048,8854528,0.008854528
0,1,after training adversary (2),32.4221911,9366528,0.009366528
0,1,before training main model,32.42396467,9366528,0.009366528
0,1,after compiling,32.42040525,9367040,0.00936704
0,1,after training main model,32.52742554,16602112,0.016602112
0,2,before training anything,32.5208105,16602112,0.016602112
0,2,before training adversary (1),32.51834061,16602112,0.016602112
0,2,after training adversary (1),32.55922688,17124096,0.017124096
0,2,after training adversary (2),32.59652096,17804544,0.017804544
0,2,before training main model,32.62271898,17804544,0.017804544
0,2,after compiling,32.5986263,17805056,0.017805056
0,2,after training main model,32.70101811,24805632,0.024805632
0,3,before training anything,32.70064538,24805632,0.024805632
0,3,before training adversary (1),32.70122291,24805632,0.024805632
0,3,after training adversary (1),32.75793203,25287680,0.02528768
0,3,after training adversary (2),32.78892237,25885184,0.025885184
0,3,before training main model,32.7883817,25885184,0.025885184
0,3,after compiling,32.79117107,25885696,0.025885696
0,3,after training main model,32.90725171,33835008,0.033835008
0,4,before training anything,32.90087014,33835008,0.033835008
0,4,before training adversary (1),32.90095616,33835008,0.033835008
0,4,after training adversary (1),32.9399296,34376448,0.034376448
0,4,after training adversary (2),33.00172595,34865408,0.034865408
0,4,before training main model,32.99300557,34865408,0.034865408
0,4,after compiling,32.99296461,34865920,0.03486592
0,4,after training main model,33.19564698,43055616,0.043055616
0,5,before training anything,33.1394048,1160192,0.001160192
0,5,before training adversary (1),33.1535401,658944,0.000658944
0,5,after training adversary (1),33.16772454,1255936,0.001255936
0,5,after training adversary (2),33.18751642,1838336,0.001838336
0,5,before training main model,33.18751642,1838336,0.001838336
0,5,after compiling,33.18422323,1505536,0.001505536
0,5,after training main model,33.31207987,9053184,0.009053184
0,6,before training anything,33.31375514,9053184,0.009053184
0,6,before training adversary (1),33.31479962,9053184,0.009053184
0,6,after training adversary (1),33.3515817,9670144,0.009670144
0,6,after training adversary (2),33.35909786,10208768,0.010208768
0,6,before training main model,33.3589463,10208768,0.010208768
0,6,after compiling,33.36180941,10209280,0.01020928
0,6,after training main model,33.42000128,18014464,0.018014464
0,7,before training anything,33.42020608,18014464,0.018014464
0,7,before training adversary (1),33.41379994,18014464,0.018014464
0,7,after training adversary (1),33.46715034,18488576,0.018488576
0,7,after training adversary (2),33.49710848,18951424,0.018951424
0,7,before training main model,33.49346304,18951424,0.018951424
0,7,after compiling,33.49214003,18951936,0.018951936
0,7,after training main model,33.54503168,26521088,0.026521088
0,8,before training anything,33.54016563,26521088,0.026521088
0,8,before training adversary (1),33.54190643,26521088,0.026521088
0,8,after training adversary (1),33.56864512,27067904,0.027067904
0,8,after training adversary (2),33.60304742,27628288,0.027628288
0,8,before training main model,33.5975465,27628288,0.027628288
0,8,after compiling,33.62403533,27628800,0.0276288
0,8,after training main model,33.70303488,35812096,0.035812096
0,9,before training anything,33.70320691,35812096,0.035812096
0,9,before training adversary (1),33.69005466,35812096,0.035812096
0,9,after training adversary (1),33.72650906,36313344,0.036313344
0,9,after training adversary (2),33.78859622,36840960,0.03684096
0,9,before training main model,33.79090227,36840960,0.03684096
0,9,after compiling,33.80035584,36841472,0.036841472
0,9,after training main model,33.93463091,44304384,0.044304384
0,10,before training anything,33.91927501,1150208,0.001150208
0,10,before training adversary (1),33.91792333,592384,0.000592384
0,10,after training adversary (1),33.94360115,1188608,0.001188608
0,10,after training adversary (2),33.96960256,1693696,0.001693696
0,10,before training main model,33.96949197,1693696,0.001693696
0,10,after compiling,33.96694426,1394432,0.001394432
0,10,after training main model,34.10727731,8711936,0.008711936
0,11,before training anything,34.10727731,8711936,0.008711936
0,11,before training adversary (1),34.10809651,8711936,0.008711936
0,11,after training adversary (1),34.12979302,9230848,0.009230848
0,11,after training adversary (2),34.14848717,9741312,0.009741312
0,11,before training main model,34.16149197,9741312,0.009741312
0,11,after compiling,34.20565504,9741824,0.009741824
0,11,after training main model,34.26420736,18261504,0.018261504
0,12,before training anything,34.24304333,18261504,0.018261504
0,12,before training adversary (1),34.2432768,18261504,0.018261504
0,12,after training adversary (1),34.25715405,18878464,0.018878464
0,12,after training adversary (2),34.28209459,19501568,0.019501568
0,12,before training main model,34.28041523,19501568,0.019501568
0,12,after compiling,34.2800343,19502080,0.01950208
0,12,after training main model,34.32596685,27101696,0.027101696
0,13,before training anything,34.3254057,27101696,0.027101696
0,13,before training adversary (1),34.31998259,27101696,0.027101696
0,13,after training adversary (1),34.33970893,27584768,0.027584768
0,13,after training adversary (2),34.37899776,28190464,0.028190464
0,13,before training main model,34.35876762,28190464,0.028190464
0,13,after compiling,34.35531469,28190976,0.028190976
0,13,after training main model,34.42968166,36045568,0.036045568
0,14,before training anything,34.42801459,36045568,0.036045568
0,14,before training adversary (1),34.4272937,36045568,0.036045568
0,14,after training adversary (1),34.46318694,36648960,0.03664896
0,14,after training adversary (2),34.47578214,37277952,0.037277952
0,14,before training main model,34.47863296,37277952,0.037277952
0,14,after compiling,34.48132813,37278464,0.037278464
0,14,after training main model,34.60844749,45058304,0.045058304
0,15,before training anything,34.61208883,1125632,0.001125632
0,15,before training adversary (1),34.61347738,598272,0.000598272
0,15,after training adversary (1),34.6466263,1128448,0.001128448
0,15,after training adversary (2),34.6611753,1903104,0.001903104
0,15,before training main model,34.66204774,1903104,0.001903104
0,15,after compiling,34.65942221,1636864,0.001636864
0,15,after training main model,34.86273536,9113088,0.009113088
0,16,before training anything,34.80969216,9113088,0.009113088
0,16,before training adversary (1),34.81101107,9113088,0.009113088
0,16,after training adversary (1),34.82712474,9642240,0.00964224
0,16,after training adversary (2),34.85396992,10161408,0.010161408
0,16,before training main model,34.87382733,10161408,0.010161408
0,16,after compiling,34.87572787,10161920,0.01016192
0,16,after training main model,34.9150167,17581056,0.017581056
0,17,before training anything,34.91495936,17581056,0.017581056
0,17,before training adversary (1),34.91541811,17581056,0.017581056
0,17,after training adversary (1),34.93364122,18035968,0.018035968
0,17,after training adversary (2),34.94982861,18578944,0.018578944
0,17,before training main model,34.94176768,18578944,0.018578944
0,17,after compiling,34.94689587,18579456,0.018579456
0,17,after training main model,35.00050022,26727936,0.026727936
0,18,before training anything,35.0003159,26727936,0.026727936
0,18,before training adversary (1),34.99883315,26727936,0.026727936
0,18,after training adversary (1),35.0513193,27223808,0.027223808
0,18,after training adversary (2),35.06307482,27728128,0.027728128
0,18,before training main model,35.05464934,27728128,0.027728128
0,18,after compiling,35.05126605,27728640,0.02772864
0,18,after training main model,35.13453773,35311360,0.03531136
0,19,before training anything,35.13271091,35311360,0.03531136
0,19,before training adversary (1),35.13234227,35311360,0.03531136
0,19,after training adversary (1),35.16111258,35890688,0.035890688
0,19,after training adversary (2),35.18180966,36348672,0.036348672
0,19,before training main model,35.184128,36348672,0.036348672
0,19,after compiling,35.18459494,36349184,0.036349184
0,19,after training main model,35.29991782,43717120,0.04371712
0,20,before training anything,35.31461837,1118976,0.001118976
0,20,before training adversary (1),35.31449139,629504,0.000629504
0,20,after training adversary (1),35.31748147,1165056,0.001165056
0,20,after training adversary (2),35.33169459,1728000,0.001728
0,20,before training main model,35.33324698,1728000,0.001728
0,20,after compiling,35.33239501,1422848,0.001422848
0,20,after training main model,35.45792102,10253056,0.010253056
0,21,before training anything,35.45792102,10253056,0.010253056
0,21,before training adversary (1),35.46825523,10253056,0.010253056
0,21,after training adversary (1),35.48216115,10834944,0.010834944
0,21,after training adversary (2),35.50510285,11322624,0.011322624
0,21,before training main model,35.50518477,11322624,0.011322624
0,21,after compiling,35.49664051,11323136,0.011323136
0,21,after training main model,35.56641997,19296768,0.019296768
0,22,before training anything,35.56808704,19296768,0.019296768
0,22,before training adversary (1),35.56688282,19296768,0.019296768
0,22,after training adversary (1),35.58642074,19965184,0.019965184
0,22,after training adversary (2),35.61960653,20451328,0.020451328
0,22,before training main model,35.63585946,20451328,0.020451328
0,22,after compiling,35.62683597,20451840,0.02045184
0,22,after training main model,35.67989965,27514624,0.027514624
0,23,before training anything,35.71293798,27514624,0.027514624
0,23,before training adversary (1),35.67915827,27514624,0.027514624
0,23,after training adversary (1),35.69712333,28133888,0.028133888
0,23,after training adversary (2),35.74176563,28699648,0.028699648
0,23,before training main model,35.7315543,28699648,0.028699648
